"ID","Item","Quantity","Reference","Make","Comment","Manufacturer","MPN","ExDist","ExDist PN","ExDist Link","ExDistLink2"
"FF","front with foot",1,"/src/CAD/front-foot.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"FL","front lid",1,"/src/CAD/front-lid.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"BF","back with foot",1,"/src/CAD/back-foot.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"BL","back lid",1,"/src/CAD/back-lid.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"SR","spacer ring",2,"/src/CAD/spacer-ring.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"R1","ring 1",2,"/src/CAD/ring1.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"R2","ring 2",2,"/src/CAD/ring2.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"R3","ring 3",2,"/src/CAD/ring3.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"R4","ring 4",2,"/src/CAD/ring4.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"R5","ring 5",2,"/src/CAD/ring5.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"R6","ring 6",2,"/src/CAD/ring6.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"R7","ring 7",2,"/src/CAD/ring7.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"R8","ring 8",2,"/src/CAD/ring8.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"BP","back plate",1,"/src/CAD/back-plate.par , /src/material-specification.csv","true",,"-","-","-","-","-",
"RL","ring lid",15,"/src/CAD/ring-lid.par , /src/material-specification.csv","true","=1*R1…R7+1(R8-back)","-","-","-","-","-",
"RL4","ring lid 4mm",1,"/src/CAD/ring-lid-4mm.par , /src/material-specification.csv","true","=1*R8-back","-","-","-","-","-",
"Mag12","permanent magnet, (12×12×12)mm³",1936,"BM52 12x12x12 AX epoxy coating (NdFeBr N52)","false",,"Bakker Magnetics BV",,,,,
"Mag50","permanent magnet, (50×12×12)mm³",384,"BM52 50x12x12 AX epoxy coating (NdFeBr N52)","false",,"Bakker Magnetics BV",,,,,
"M4sleeve","M4 sleeve nut, flat head",8,"M4×12, 5×16, brass, 3663072123953 visfil0, see data sheet","false","=1*Rod4","Visserie Service","6722811709_1","vis-express.fr","6722811709_1","https://www.vis-express.fr/fr/ecrou-relieur-acier/33826-503954-ecrou-relieur-tete-bombee-fendue-5x16-m4x12-laiton-3663072123953.html#/21-conditionnement-1_piece","https://www.schraubenhimmel.de/muttern/huelsenmuttern/?p=1&o=5&n=12&attributesForm_1=Messing%20vernickelt&attributesForm_2=_M%204"
"Spacer6x6","spacer sleeve Ø6.2×6mm",180,"ø_out=12, ø_in=6.2, l=6 [mm], black PA-GV","false","=Rod6*R1…R7+Rod6(R8-back)","A.R.T. Elektromechanik-Vertriebs-GmbH","02484","artgmbh.com/","02484","https://www.artgmbh.com/distanzhuelsen-distanzhalter/distanzhuelsen-aus-kunststoff/kunststoff-distanzhuelsen/1195/dh-062120...-pa-gv-distanzhuelse-schwarz-6-0",
"Spacer6x2","spacer sleeve Ø6.2×2mm",36,"ø_out=12, ø_in=6.2, l=2 [mm], black PA-GV","false","=2*Rod6(front)+Rod6(back)","A.R.T. Elektromechanik-Vertriebs-GmbH","01424","artgmbh.com/","01424","https://www.artgmbh.com/distanzhuelsen-distanzhalter/distanzhuelsen-aus-kunststoff/kunststoff-distanzhuelsen/1195/dh-062120...-pa-gv-distanzhuelse-schwarz-6-0?number=01424",
"Spacer4x6","spacer sleeve Ø4.2×6mm",120,"ø_out=8, ø_in=4.2, l=6 [mm], black PA-GV","false","=Rod4*R1…R7+Rod4(R8-back)","A.R.T. Elektromechanik-Vertriebs-GmbH","02019","artgmbh.com/","02019","https://www.artgmbh.com/distanzhuelsen-distanzhalter/distanzhuelsen-aus-kunststoff/kunststoff-distanzhuelsen/1188/dh-042080...-pa-gv-distanzhuelse-schwarz-6-0",
"Spacer4x2","spacer sleeve Ø4.2×2mm",8,"ø_out=8, ø_in=4.2, l=2 [mm], black PA-GV","false","=Rod6(back)","A.R.T. Elektromechanik-Vertriebs-GmbH","02575","artgmbh.com/","02575","https://www.artgmbh.com/distanzhuelsen-distanzhalter/distanzhuelsen-aus-kunststoff/kunststoff-distanzhuelsen/1188/dh-042080...-pa-gv-distanzhuelse-schwarz-6-0?number=02575",
"M6lnut","M6 brass locknut",12,"ISO 10511 M6, brass, low headroom","false","=Rod6(front)","-","-","befestigungsfuchs.de/","21211 06","https://www.befestigungsfuchs.de/eisenwaren/muttern/sechskantmuttern/100-sechskantmuttern-mit-klemmteil-m6-din-985-messing",
"M6nut","M6 brass nut",24,"ISO 4032 M6, brass, low headroom","false","=2*Rod6(back)","-","-",,,,
"M4nut","M4 brass nut",16,"ISO 4032 M4, brass, low headroom","false","=2*Rod4(back)","-","-","befestigungsfuchs.de/","2910 040T100","https://www.befestigungsfuchs.de/eisenwaren/muttern/sechskantmuttern/100-sechskantmuttern-m4-sw7-messing-din-934",
"M6washer","large diameter brass washer for M6 screws",12,"ISO 7093-1 - 6","false","=1*Rod6(back)","-","-","befestigungsfuchs.de/","23121 06T100","https://www.befestigungsfuchs.de/eisenwaren/unterlegscheiben-ringe/100-unterlegscheiben-fuer-m6-din-9021-messing",
"M4washer","large diameter brass washer for M4 screws",8,"ISO 7093-1 - 4","false","=1*Rod4(back)","-","-","befestigungsfuchs.de/","23121 04T100","https://www.befestigungsfuchs.de/eisenwaren/unterlegscheiben-ringe/100-unterlegscheiben-fuer-m4-din-9021-messing",
"Rod6","brass roundrod Ø6×450mm",12,"round rod EN12164 - CW614N - M - RND6A - 500mm","true","=12*FF","-","-","alu-messing-shop.de/","LM-16096-005","https://www.alu-messing-shop.de/messingrotgussbronze/rundstangen/messing-rundstange-22?number=LM-16096-005",
"Rod4","brass roundrod Ø4×450mm",8,"round rod EN12164 - CW614N - M - RND4A - 500mm","true","=8*FF","-","-","alu-messing-shop.de/","LM-16096-003","https://www.alu-messing-shop.de/messingrotgussbronze/rundstangen/messing-rundstange-22?number=LM-16096-003",
"M4hex12","M4×12 hexagon screw, brass",384,"ISO 4017 M4 × 12 mm (head height 2,8 mm), brass","false","=24*(RL+RL4)","-","-","befestigungsfuchs.de/","1007 04 012","https://www.befestigungsfuchs.de/schrauben/sechskantschrauben/100-sechskantschrauben-m4x12-mm-sw-7-messing-din-933",
"M4hex50","M4×50 hexagon screw, brass",12,"ISO 4017 M4 × 50 mm (head height 2,8 mm), brass","false","=6*(FF+BF)","-","-","befestigungsfuchs.de/","1007 04 050","https://www.befestigungsfuchs.de/schrauben/sechskantschrauben/100-sechskantschrauben-m4x50-mm-sw-7-messing-din-933",
